speaker,text,split
Monica Geller,There's nothing to tell! He's just some guy I work with!,train
Joey Tribbiani,"C'mon, you're going out with the guy! There's gotta be something wrong with him!",train
Chandler Bing,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",train
Phoebe Buffay,"Wait, does he eat chalk?",train
Phoebe Buffay,"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",train
Monica Geller,"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",train
Chandler Bing,Sounds like a date to me.,train
Chandler Bing,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",train
Chandler Bing,"Then I look down, and I realize there's a phone... there.",train
Joey Tribbiani,Instead of...?,train
Chandler Bing,That's right.,train
Joey Tribbiani,Never had that dream.,train
Phoebe Buffay,No.,train
Chandler Bing,"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",train
Monica Geller,And they weren't looking at you before?!,train
Chandler Bing,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",train
Ross Geller,Hi.,train
Joey Tribbiani,"This guy says hello, I wanna kill myself.",train
Monica Geller,"Are you okay, sweetie?",train
Ross Geller,"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",train
Chandler Bing,Cookie?,train
Monica Geller,Carol moved her stuff out today.,train
Joey Tribbiani,Ohh.,train
Monica Geller,Let me get you some coffee.,train
Ross Geller,Thanks.,train
Phoebe Buffay,Ooh! Oh!,train
Ross Geller,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",train
Phoebe Buffay,Fine! Be murky!,train
Ross Geller,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",train
Monica Geller,No you don't.,train
Ross Geller,"No I don't, to hell with her, she left me!",train
Joey Tribbiani,And you never knew she was a lesbian...,train
Ross Geller,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",train
Chandler Bing,Sometimes I wish I was a lesbian... Did I say that out loud?,train
Ross Geller,"I told mom and dad last night, they seemed to take it pretty well.",train
Monica Geller,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?",train
Ross Geller,Sorry.,train
Joey Tribbiani,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",train
Joey Tribbiani,"Strip joint! C'mon, you're single! Have some hormones!",train
