ground-truth,model output,input text,input context
Joey Tribbiani,Joey Tribbiani,"Look, it's one thing not to cast me, but to lie to me?",Chandler Bing: What!? Of course I did!
Monica Geller,Monica Geller,"Well, that's it. Everything's packed.",Phoebe Buffay: I'm sorry.
Chandler Bing,Chandler Bing,"It feels like we're cheating on our house. And if we're gonna cheat, shouldn't it be with like a hot, younger house, that does stuff that our house won't do?",Monica Geller: Thanks.
Ross Geller,Ross Geller,Hey.,Rachel Green: Yeah...
Joey Tribbiani,Joey Tribbiani,"Yeah, you are!","Ross Geller: Yeah, I'm gonna go after her."
Ross Geller,Ross Geller,Did the TV wake you?,Rachel Green: Ok.
Phoebe Buffay,Monica Geller,"Ok. Hello everyone and thank you all for being here tonight. So tomorrow's the big event and some of you might not know, but Mike and I didn't get off to the best start. . My friend Joey and I decided to fix each other up with friends so I, I... oh I... hum... I gave it a lot of thought and I fixed him up with my friend Mary Ellen who couldn't be here tonight because... it's not important... she is in rehab. Anyway, so, ok, Joey said that he was fixing me up with his friend Mike, only he didn't have a friend Mike so he just brought, uhm, my Mike and, and but despite, you know... it got... it got good. Ok, I wanna take a moment to mention my mother, who couldn't be here...","Monica Geller: It's 2101 and I am not amused. . Ok, the bride and groom have a few words they'd like to say."
Phoebe Buffay,Phoebe Buffay,"Dead. Oh, it's OK, no, he was old, yeah! And he lived a full life, he was in the first wave at Omaha Beach.",Monica Geller: What does the red X next to Bob Greenmore's name mean?
Ross Geller,Ross Geller,"Me neither, okay? We are - we're done being stupid.","Rachel Green: Okay. 'Cause this is where I wanna be, okay? No more messing around. I don't wanna mess this up again."
Rachel Green,Rachel Green,"Wait, we won't know that until we do it, will we?","Ross Geller: Ok, well, uh, I can maybe grab a sleeping bag, or... Oh, oh. . No, Rach! I'm sorry, I just don't think this, this, this is a good idea."
Phoebe Buffay,Joey Tribbiani,"Don't take that tone with me. Who you think you are? Alan Lemond, the first black man to fly solo across the Atlantic?","Joey Tribbiani: That's it? You know, it seems all you do lately is drop the ball."
Joey Tribbiani,Ross Geller,Hey guys!,Joey Tribbiani: What did they say?
Phoebe Buffay,Chandler Bing,Why do you have a realtor?,Joey Tribbiani: I knew he couldn't be with a woman for 45 minutes!!
Phoebe Buffay,Monica Geller,"Oh, well, it's a shame that you-that you miss the movie 'cause we were gonna see, you know, either ""Liar, Liar"" or ""Betrayal"", or... ""An Affair To Remember"".","Chandler Bing: Oh, uhm... I have to work too. Yeah, I'm stuck at the office all day."
Rachel Green,Rachel Green,Hi... I'm on a date...,Rachel Green: Sssshhhh!
Phoebe Buffay,Chandler Bing,"Don't point that thing at me, Tribbiani!",Joey Tribbiani: We figured we could be late because you guys were gonna be on time.
Ross Geller,Monica Geller,Two seconds...,Chandler Bing: Fancy guest.
Ross Geller,Ross Geller,No way!,"Phoebe Buffay: Ross, you've got to tell her how you feel!"
Joey Tribbiani,Joey Tribbiani,"Hey listen guys, we feel really terrible.",Monica Geller: Oh! Enough! A monkey could have made 'em!
Joey Tribbiani,Joey Tribbiani,That was ME!,"Joey Tribbiani: That's what I wanted to hear! Because she's family, ok, and now you're gonna be family, and there is nothing more important in the whole world, than family."
Phoebe Buffay,Joey Tribbiani,Hey! What do you have there?,"Phoebe Buffay: No, you don't! She's going to Paris! She is going to meet somebody. Do you know how many hot guys there are in Paris? It's... It's a city of Gunthers!"
Joey Tribbiani,Joey Tribbiani,Just when I thought we could be friends.,"Joey Tribbiani: I hate to admit it, but you're probably right. How did you get to be so smart?"
Phoebe Buffay,Phoebe Buffay,Oh... okay.,"Rachel Green: Oh! Phoebe, all babies are beautiful!"
Joey Tribbiani,Joey Tribbiani,"Oh, oh! Maybe we can lure them out. You know any birdcalls?",Chandler Bing: How?
Rachel Green,Rachel Green,What?,Rachel Green: Oh yeah? Since when?
Ross Geller,Ross Geller,"Oh, well, er, I already ate, but sure...! Guess what happened at work today...","Monica Geller: Ross, we're kind of in the middle of diner here."
Joey Tribbiani,Joey Tribbiani,"Yeah, maybe.","Joey Tribbiani: Yeah, yeah, I guess."
Joey Tribbiani,Joey Tribbiani,"I am those things, yeah.","Ross Geller: No, I mean it. You are so loyal man, and selfless, and generous..."
Ross Geller,Ross Geller,"You had a rough day, uh?",Rachel Green: Yeah.
Rachel Green,Rachel Green,"Oh, that doesn't mean anything.","Phoebe Buffay: Well, I'm sorry but it's hard to believe that anyone would tell a story that dull just to tell it! See, there's something going on with them. Look, he's getting into the car with her!"
Chandler Bing,Joey Tribbiani,"You're right, by saying ""nice"" I'm virtually licking her.",Ross Geller: Dude. You're married to my sister.
Phoebe Buffay,Phoebe Buffay,"Well, she's gonna look all washed out next to the other contestants!","Rachel Green: No, what?"
Joey Tribbiani,Joey Tribbiani,"You are beautiful, you know that?","Joey Tribbiani: How about those fries though, huh?"
Rachel Green,Ross Geller,I'm fantastic. You remember Ross?,Rachel Green: Mark? Oh my God!
